POI,Lon,Lat,Address
metro,2.147015,41.435432,"Centre de Vida Independent, Passeig de la Vall d'Hebron, 159-169, 08035 Barcelona, Spain"
metro,2.147496,41.435235,"Ronda de Dalt, 08035 Barcelona, Spain"
metro,2.118013,41.385808,"Avinguda Diagonal, 08034 Barcelona, Spain"
metro,2.117869,41.386116,"unnamed road, 08034 Barcelona, Spain"
metro,2.117872,41.385906,"Avinguda Diagonal, 08034 Barcelona, Spain"
metro,2.170083,41.374728,"Avinguda del Paral·lel, 57-61, 08004 Barcelona, Spain"
metro,2.170433,41.375177,"Lemos, Avinguda del Paral·lel, 54-58, 08001 Barcelona, Spain"
metro,2.170718,41.375079,"Avinguda del Paral·lel, 54-58, 08001 Barcelona, Spain"
metro,2.165242,41.392217,"Santander Bank, Carrer d'Aragó, 278-280, 08007 Barcelona, Spain"
metro,2.164802,41.391905,"MUSSOL, Carrer d'Aragó, 274-276, 08007 Barcelona, Spain"
metro,2.165646,41.391351,"Passeig de Gràcia, 08007 Barcelona, Spain"
metro,2.164871,41.392581,"ETRO, Passeig de Gràcia, 56, 08007 Barcelona, Spain"
metro,2.164453,41.392328,"Passeig de Gràcia (lateral Llobregat), 08007 Barcelona, Spain"
metro,2.16457,41.392896,"Sixtytwo, Passeig de Gràcia, 62, 08007 Barcelona, Spain"
metro,2.140978,41.417691,"Avinguda de Vallcarca, 207, 209, 211, 08035 Barcelona, Spain"
metro,2.140979,41.417205,"El camí dels vents. Espai de rehabilitació i lúdic per als pacients, familiars i ciutadans, 08023 Barcelona, Spain"
metro,2.140751,41.417963,"Avinguda de Vallcarca, 213, 215, 217, 219, 221, 08035 Barcelona, Spain"
metro,2.13621,41.382176,"Carrer dels Comtes de Bell-lloc, 131, 133, 08014 Barcelona, Spain"
metro,2.136549,41.382673,"Carrer de Berlín, 7, 08014 Barcelona, Spain"
metro,2.16169,41.375204,"Avinguda del Paral·lel, 126B, 08004 Barcelona, Spain"
metro,2.161109,41.375204,"Carrer de Calàbria, 08015 Barcelona, Spain"
metro,2.158936,41.37487,"Avinguda del Paral·lel, 135-137, 08015 Barcelona, Spain"
metro,2.158822,41.37522,"Carrer de Rocafort, 08015 Barcelona, Spain"
metro,2.15988,41.375147,"Avinguda del Paral·lel, 136, 08015 Barcelona, Spain"
metro,2.17602,41.446933,"Carrer de les Torres, 46, 08042 Barcelona, Spain"
metro,2.177118,41.44795,"unnamed road, 08042 Barcelona, Spain"
metro,2.175017,41.446909,"Carrer de les Torres, 60, 08042 Barcelona, Spain"
metro,2.176252,41.447394,"Carrer del Pla de Fornells, 38, 08042 Barcelona, Spain"
metro,2.142019,41.381157,"Sun, Avinguda de Josep Tarradellas, 5, 7, 08029 Barcelona, Spain"
metro,2.139887,41.381979,"Carrer de Dolors Batlle i Sunyer, 19, 08029 Barcelona, Spain"
metro,2.141603,41.380858,"CAPI Sant Joan de Deu, Carrer de Numància, 7, 08029 Barcelona, Spain"
metro,2.140542,41.382298,"Carrer de Numància, 22, 24, 08029 Barcelona, Spain"
metro,2.141512,41.381522,"Farmàcia Matabosch Vilaseca, Xavier, Carrer de Numància, 14, 08029 Barcelona, Spain"
